Year,Geographic area,Gender,AI talent concentration
2016,Australia,Female,0.0007000000000000001
2016,Australia,Male,0.0019
2017,Australia,Female,0.0008
2017,Australia,Male,0.0021
2018,Australia,Female,0.0009
2018,Australia,Male,0.0024
2019,Australia,Female,0.0011
2019,Australia,Male,0.0028000000000000004
2020,Australia,Female,0.0013
2020,Australia,Male,0.0032
2021,Australia,Female,0.0015
2021,Australia,Male,0.0034999999999999996
2022,Australia,Female,0.0016
2022,Australia,Male,0.0038
2023,Australia,Female,0.0019
2023,Australia,Male,0.0043
2016,Belgium,Female,0.0012
2016,Belgium,Male,0.0031
2017,Belgium,Female,0.0012
2017,Belgium,Male,0.0033
2018,Belgium,Female,0.0013
2018,Belgium,Male,0.0036
2019,Belgium,Female,0.0015
2019,Belgium,Male,0.004
2020,Belgium,Female,0.0016
2020,Belgium,Male,0.0045000000000000005
2021,Belgium,Female,0.0018
2021,Belgium,Male,0.0048
2022,Belgium,Female,0.0018
2022,Belgium,Male,0.0051
2023,Belgium,Female,0.002
2023,Belgium,Male,0.0055000000000000005
2016,Brazil,Female,0.0001
2016,Brazil,Male,0.0004
2017,Brazil,Female,0.0001
2017,Brazil,Male,0.0005
2018,Brazil,Female,0.0001
2018,Brazil,Male,0.0006
2019,Brazil,Female,0.0002
2019,Brazil,Male,0.0008
2020,Brazil,Female,0.0002
2020,Brazil,Male,0.0009
2021,Brazil,Female,0.0002
2021,Brazil,Male,0.0011
2022,Brazil,Female,0.0003
2022,Brazil,Male,0.0012
2023,Brazil,Female,0.0003
2023,Brazil,Male,0.0014000000000000002
2016,Canada,Female,0.0009
2016,Canada,Male,0.0021
2017,Canada,Female,0.001
2017,Canada,Male,0.0024
2018,Canada,Female,0.0012
2018,Canada,Male,0.0029
2019,Canada,Female,0.0014000000000000002
2019,Canada,Male,0.0034999999999999996
2020,Canada,Female,0.0017000000000000001
2020,Canada,Male,0.0040999999999999995
2021,Canada,Female,0.0019
2021,Canada,Male,0.0046
2022,Canada,Female,0.0022
2022,Canada,Male,0.0051
2023,Canada,Female,0.0026
2023,Canada,Male,0.0059
2016,Chile,Female,0.0004
2016,Chile,Male,0.0012
2017,Chile,Female,0.0004
2017,Chile,Male,0.0013
2018,Chile,Female,0.0004
2018,Chile,Male,0.0014000000000000002
2019,Chile,Female,0.0005
2019,Chile,Male,0.0016
2020,Chile,Female,0.0005
2020,Chile,Male,0.0017000000000000001
2021,Chile,Female,0.0005
2021,Chile,Male,0.0019
2022,Chile,Female,0.0005
2022,Chile,Male,0.002
2023,Chile,Female,0.0006
2023,Chile,Male,0.0022
2016,Costa Rica,Female,0.0004
2016,Costa Rica,Male,0.0009
2017,Costa Rica,Female,0.0004
2017,Costa Rica,Male,0.001
2018,Costa Rica,Female,0.0004
2018,Costa Rica,Male,0.0012
2019,Costa Rica,Female,0.0005
2019,Costa Rica,Male,0.0014000000000000002
2020,Costa Rica,Female,0.0006
2020,Costa Rica,Male,0.0016
2021,Costa Rica,Female,0.0006
2021,Costa Rica,Male,0.0019
2022,Costa Rica,Female,0.0008
2022,Costa Rica,Male,0.002
2023,Costa Rica,Female,0.0009
2023,Costa Rica,Male,0.0025
2016,Cyprus,Female,0.0007000000000000001
2016,Cyprus,Male,0.0018
2017,Cyprus,Female,0.0007000000000000001
2017,Cyprus,Male,0.0021
2018,Cyprus,Female,0.0008
2018,Cyprus,Male,0.0024
2019,Cyprus,Female,0.0009
2019,Cyprus,Male,0.0031
2020,Cyprus,Female,0.001
2020,Cyprus,Male,0.0037
2021,Cyprus,Female,0.0012
2021,Cyprus,Male,0.0043
2022,Cyprus,Female,0.0018
2022,Cyprus,Male,0.0053
2023,Cyprus,Female,0.0022
2023,Cyprus,Male,0.0059
2016,Denmark,Female,0.0006
2016,Denmark,Male,0.002
2017,Denmark,Female,0.0007000000000000001
2017,Denmark,Male,0.0024
2018,Denmark,Female,0.0009
2018,Denmark,Male,0.0029
2019,Denmark,Female,0.0011
2019,Denmark,Male,0.0034999999999999996
2020,Denmark,Female,0.0013
2020,Denmark,Male,0.0040999999999999995
2021,Denmark,Female,0.0016
2021,Denmark,Male,0.004699999999999999
2022,Denmark,Female,0.0018
2022,Denmark,Male,0.0051
2023,Denmark,Female,0.0021
2023,Denmark,Male,0.0059
2016,Finland,Female,0.0028000000000000004
2016,Finland,Male,0.0059
2017,Finland,Female,0.0029
2017,Finland,Male,0.0066
2018,Finland,Female,0.0031
2018,Finland,Male,0.0074
2019,Finland,Female,0.0034000000000000002
2019,Finland,Male,0.0083
2020,Finland,Female,0.0038
2020,Finland,Male,0.0091
2021,Finland,Female,0.004
2021,Finland,Male,0.009899999999999999
2022,Finland,Female,0.0042
2022,Finland,Male,0.0103
2023,Finland,Female,0.0045000000000000005
2023,Finland,Male,0.0109
2016,France,Female,0.0027
2016,France,Male,0.0045000000000000005
2017,France,Female,0.0027
2017,France,Male,0.0046
2018,France,Female,0.0029
2018,France,Male,0.005
2019,France,Female,0.003
2019,France,Male,0.0054
2020,France,Female,0.0031
2020,France,Male,0.0058
2021,France,Female,0.0033
2021,France,Male,0.0060999999999999995
2022,France,Female,0.0033
2022,France,Male,0.0063
2023,France,Female,0.0034000000000000002
2023,France,Male,0.006500000000000001
2016,Germany,Female,0.0012
2016,Germany,Male,0.0033
2017,Germany,Female,0.0014000000000000002
2017,Germany,Male,0.0039000000000000003
2018,Germany,Female,0.0017000000000000001
2018,Germany,Male,0.0046
2019,Germany,Female,0.0022
2019,Germany,Male,0.005699999999999999
2020,Germany,Female,0.0026
2020,Germany,Male,0.0066
2021,Germany,Female,0.003
2021,Germany,Male,0.0074
2022,Germany,Female,0.0033
2022,Germany,Male,0.008199999999999999
2023,Germany,Female,0.0037
2023,Germany,Male,0.0089
2016,Hong Kong,Female,0.0005
2016,Hong Kong,Male,0.0012
2017,Hong Kong,Female,0.0006
2017,Hong Kong,Male,0.0015
2018,Hong Kong,Female,0.0008
2018,Hong Kong,Male,0.0022
2019,Hong Kong,Female,0.001
2019,Hong Kong,Male,0.0027
2020,Hong Kong,Female,0.0012
2020,Hong Kong,Male,0.0033
2021,Hong Kong,Female,0.0014000000000000002
2021,Hong Kong,Male,0.0038
2022,Hong Kong,Female,0.0015
2022,Hong Kong,Male,0.0040999999999999995
2023,Hong Kong,Female,0.0019
2023,Hong Kong,Male,0.0049
2016,India,Female,0.0009
2016,India,Male,0.0013
2017,India,Female,0.0011
2017,India,Male,0.0015
2018,India,Female,0.0014000000000000002
2018,India,Male,0.0019
2019,India,Female,0.0019
2019,India,Male,0.0025
2020,India,Female,0.0025
2020,India,Male,0.0032
2021,India,Female,0.003
2021,India,Male,0.0036
2022,India,Female,0.0031
2022,India,Male,0.0037
2023,India,Female,0.0038
2023,India,Male,0.0045000000000000005
2016,Ireland,Female,0.0013
2016,Ireland,Male,0.0028000000000000004
2017,Ireland,Female,0.0014000000000000002
2017,Ireland,Male,0.0031
2018,Ireland,Female,0.0017000000000000001
2018,Ireland,Male,0.0037
2019,Ireland,Female,0.0019
2019,Ireland,Male,0.0045000000000000005
2020,Ireland,Female,0.0023
2020,Ireland,Male,0.0052
2021,Ireland,Female,0.0025
2021,Ireland,Male,0.0058
2022,Ireland,Female,0.0028000000000000004
2022,Ireland,Male,0.0063
2023,Ireland,Female,0.0033
2023,Ireland,Male,0.0072
2016,Israel,Female,0.0032
2016,Israel,Male,0.008199999999999999
2017,Israel,Female,0.0037
2017,Israel,Male,0.0095
2018,Israel,Female,0.0043
2018,Israel,Male,0.011000000000000001
2019,Israel,Female,0.005
2019,Israel,Male,0.0125
2020,Israel,Female,0.0059
2020,Israel,Male,0.0141
2021,Israel,Female,0.0066
2021,Israel,Male,0.0154
2022,Israel,Female,0.006999999999999999
2022,Israel,Male,0.016399999999999998
2023,Israel,Female,0.0075
2023,Israel,Male,0.0173
2016,Italy,Female,0.0006
2016,Italy,Male,0.0011
2017,Italy,Female,0.0007000000000000001
2017,Italy,Male,0.0013
2018,Italy,Female,0.0008
2018,Italy,Male,0.0015
2019,Italy,Female,0.0009
2019,Italy,Male,0.0019
2020,Italy,Female,0.0011
2020,Italy,Male,0.0022
2021,Italy,Female,0.0012
2021,Italy,Male,0.0025
2022,Italy,Female,0.0013
2022,Italy,Male,0.0027
2023,Italy,Female,0.0014000000000000002
2023,Italy,Male,0.003
2016,Luxembourg,Female,0.0024
2016,Luxembourg,Male,0.0048
2017,Luxembourg,Female,0.0025
2017,Luxembourg,Male,0.0052
2018,Luxembourg,Female,0.0027
2018,Luxembourg,Male,0.005699999999999999
2019,Luxembourg,Female,0.0031
